TransactionID,OrderDate,DeliveryDate,Manufacturer,ManufacturerRegion,TherapeuticCategory,ProductDescription,Quantity,UnitPrice,TotalCost,ComplianceStandards,RiskFactors,ShortageRisk,ColdChainRequired,LeadTimeDays,OnTimeDelivery,SavingsIdentified,SavingsRealized,PaymentTermsDays,ContractNumber
PHRX00016,2024-03-12,2024-03-23,Shanghai Medical Supply Co,China,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,8956,3278.12,29358842.72,"FDA Approved, EMA Certified",None,Low,False,11,True,0.0,0.0,60,PHR-CON-2248
PHRX00017,2023-02-19,2023-03-01,New Jersey Drug Co,USA,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,4445,4927.28,21901759.6,"GDP Compliant, ISO 13485 Certified, GMP Certified",None,Low,False,10,True,5338375.91,4215129.01,90,PHR-CON-3805
PHRX00018,2024-09-18,2024-10-15,Cork Pharmaceutical Manufacturing Ltd,Ireland,Vaccines - Injectable,Vaccines Pharmaceutical Product,8801,2539.11,22346707.11,"FDA Approved, GMP Certified",None,Low,True,27,True,3776750.4,3163429.84,30,PHR-CON-7906
PHRX00019,2024-12-10,2025-01-22,Boston Scientific Supply Inc,USA,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,9662,2125.16,20533295.92,"GMP Certified, GDP Compliant, WHO Prequalified, FDA Approved",Quality Audit Issues,Medium,False,43,False,2652022.38,2216679.94,60,PHR-CON-1084
PHRX00020,2026-01-26,2026-03-22,Cork Pharmaceutical Manufacturing Ltd,Ireland,Vaccines - Injectable,Vaccines Pharmaceutical Product,9324,3124.74,29135075.76,"FDA Approved, GMP Certified",None,Low,True,55,False,6894870.32,6484157.28,60,
PHRX00021,2023-03-27,2023-04-21,New Jersey Drug Co,USA,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,8766,3077.8,26979994.8,"WHO Prequalified, GMP Certified",None,Low,True,25,True,0.0,0.0,30,
PHRX00022,2026-01-08,2026-01-31,Cork Pharmaceutical Manufacturing Ltd,Ireland,Pain Management - Injectable,Pain Management Pharmaceutical Product,3550,1398.12,4963326.0,"GDP Compliant, EMA Certified, WHO Prequalified, ISO 13485 Certified",Transportation Delays,Medium,False,23,True,877798.4,802899.41,60,PHR-CON-4440
PHRX00023,2024-09-04,2024-10-30,Texas Pharma Manufacturing,USA,Pain Management - Injectable,Pain Management Pharmaceutical Product,9138,3719.09,33985044.42,"ISO 13485 Certified, GMP Certified, FDA Approved, WHO Prequalified",None,Low,False,56,False,0.0,0.0,90,
PHRX00024,2025-10-14,2025-10-23,Bangalore Pharmaceutical Co,India,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,5150,680.86,3506429.0,"FDA Approved, GDP Compliant, EMA Certified",Raw Material Shortage,Medium,False,9,True,722405.89,680555.0,90,PHR-CON-7953
PHRX00025,2024-08-04,2024-09-27,California Biologics Corporation,USA,Pain Management - Injectable,Pain Management Pharmaceutical Product,3000,4882.22,14646660.0,"FDA Approved, EMA Certified, GDP Compliant","Regulatory Approval Delays, Raw Material Shortage",High,False,54,False,0.0,0.0,60,
PHRX00026,2023-04-14,2023-05-01,Limerick Drug Manufacturing Co,Ireland,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,3744,4300.04,16099349.76,"ISO 13485 Certified, GDP Compliant",Transportation Delays,Medium,False,17,True,0.0,0.0,90,PHR-CON-6080
PHRX00027,2023-06-09,2023-06-28,Shenzhen Drug Manufacturing,China,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,4673,4328.55,20227314.15,"WHO Prequalified, GMP Certified, ISO 13485 Certified",Transportation Delays,Medium,True,19,True,0.0,0.0,30,
PHRX00028,2024-12-01,2024-12-24,Texas Pharma Manufacturing,USA,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,7219,586.59,4234593.21,"WHO Prequalified, GDP Compliant, ISO 13485 Certified",Manufacturing Capacity Constraints,Medium,False,23,True,973536.99,579292.85,60,PHR-CON-7550
PHRX00029,2024-09-07,2024-09-14,Swiss MedSupply GmbH,EU,Respiratory - Inhaled,Respiratory Pharmaceutical Product,5509,2184.92,12036724.28,"GDP Compliant, FDA Approved, WHO Prequalified, ISO 13485 Certified",Regulatory Approval Delays,Medium,False,7,True,2280257.3,1772230.2,90,PHR-CON-3171
PHRX00030,2023-02-27,2023-03-30,Texas Pharma Manufacturing,USA,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,106,2762.29,292802.74,"GDP Compliant, EMA Certified, ISO 13485 Certified","Manufacturing Capacity Constraints, Raw Material Shortage",High,False,31,False,40511.37,33940.98,90,PHR-CON-8949
PHRX00031,2025-02-04,2025-02-21,Galway MedTech Solutions,Ireland,Respiratory - Inhaled,Respiratory Pharmaceutical Product,3948,512.27,2022441.96,"GDP Compliant, EMA Certified, GMP Certified, FDA Approved",None,Low,False,17,True,293309.23,271272.57,60,PHR-CON-3865
PHRX00032,2024-07-20,2024-09-05,Swiss MedSupply GmbH,EU,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,4097,2497.17,10230905.49,"WHO Prequalified, FDA Approved","Transportation Delays, Single Source Supplier",High,False,47,False,0.0,0.0,90,PHR-CON-2777
PHRX00033,2024-09-10,2024-10-20,Shanghai Medical Supply Co,China,Oncology - Injectable,Oncology Pharmaceutical Product,2088,4591.48,9587010.24,"EMA Certified, ISO 13485 Certified, GDP Compliant","Regulatory Approval Delays, Manufacturing Capacity Constraints, Raw Material Shortage",High,True,40,False,0.0,0.0,60,
PHRX00034,2025-09-22,2025-10-09,Guangzhou Biotech Ltd,China,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,4643,3771.3,17510145.9,"ISO 13485 Certified, EMA Certified, GDP Compliant, GMP Certified",None,Low,True,17,True,1827061.53,1205595.29,30,PHR-CON-6893
PHRX00035,2023-09-08,2023-09-24,New Jersey Drug Co,USA,Pain Management - Injectable,Pain Management Pharmaceutical Product,1152,3546.77,4085879.04,"ISO 13485 Certified, GDP Compliant, WHO Prequalified",Geopolitical Risk,Medium,False,16,True,0.0,0.0,90,PHR-CON-4922
PHRX00036,2024-08-25,2024-10-15,Limerick Drug Manufacturing Co,Ireland,Vaccines - Injectable,Vaccines Pharmaceutical Product,5863,79.19,464290.97,"ISO 13485 Certified, WHO Prequalified, EMA Certified",Quality Audit Issues,Medium,True,51,False,0.0,0.0,60,PHR-CON-5518
PHRX00037,2024-09-12,2024-10-31,Beijing Pharmaceutical Group,China,Vaccines - Injectable,Vaccines Pharmaceutical Product,8851,4601.73,40729912.23,"ISO 13485 Certified, GMP Certified",Single Source Supplier,Medium,True,49,False,5527967.71,5159947.01,60,PHR-CON-2476
PHRX00038,2023-05-20,2023-06-20,Bangalore Pharmaceutical Co,India,Vaccines - Injectable,Vaccines Pharmaceutical Product,6311,1667.89,10526053.79,"ISO 13485 Certified, GDP Compliant, FDA Approved",Raw Material Shortage,Medium,True,31,False,0.0,0.0,60,
PHRX00039,2023-11-19,2023-12-10,Cork Pharmaceutical Manufacturing Ltd,Ireland,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,3366,4750.58,15990452.28,"GMP Certified, EMA Certified",None,Low,False,21,True,0.0,0.0,30,PHR-CON-7369
PHRX00040,2024-02-05,2024-03-12,Hyderabad Drug Manufacturing,India,Pain Management - Injectable,Pain Management Pharmaceutical Product,1976,3049.17,6025159.92,"GDP Compliant, FDA Approved",Quality Audit Issues,Medium,False,36,False,0.0,0.0,60,
PHRX00041,2024-04-14,2024-05-16,Boston Scientific Supply Inc,USA,Oncology - Injectable,Oncology Pharmaceutical Product,5041,554.41,2794780.81,"GMP Certified, FDA Approved, WHO Prequalified, EMA Certified",Raw Material Shortage,Medium,True,32,False,0.0,0.0,60,PHR-CON-2827
PHRX00042,2025-09-30,2025-10-07,Guangzhou Biotech Ltd,China,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,6034,2195.94,13250301.96,"ISO 13485 Certified, EMA Certified, WHO Prequalified, FDA Approved","Raw Material Shortage, Quality Audit Issues",High,False,7,True,0.0,0.0,60,
PHRX00043,2025-02-05,2025-03-13,Shenzhen Drug Manufacturing,China,Respiratory - Inhaled,Respiratory Pharmaceutical Product,1519,4265.98,6480023.62,"ISO 13485 Certified, EMA Certified, WHO Prequalified",Raw Material Shortage,Medium,False,36,False,0.0,0.0,60,PHR-CON-3945
PHRX00044,2023-10-12,2023-10-30,Beijing Pharmaceutical Group,China,Respiratory - Inhaled,Respiratory Pharmaceutical Product,5676,3999.27,22699856.52,"GMP Certified, GDP Compliant, FDA Approved",Geopolitical Risk,Medium,False,18,True,4404111.14,3277931.14,90,
PHRX00045,2024-04-11,2024-05-18,Guangzhou Biotech Ltd,China,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,3730,510.61,1904575.3,"WHO Prequalified, EMA Certified, GDP Compliant",Quality Audit Issues,Medium,False,37,False,0.0,0.0,60,PHR-CON-9220
PHRX00046,2026-01-18,2026-03-13,French Biologics SA,EU,Respiratory - Inhaled,Respiratory Pharmaceutical Product,4538,3529.13,16015191.94,"GDP Compliant, EMA Certified, FDA Approved","Quality Audit Issues, Single Source Supplier",High,False,54,False,0.0,0.0,90,
PHRX00047,2025-01-16,2025-02-03,California Biologics Corporation,USA,Vaccines - Injectable,Vaccines Pharmaceutical Product,9759,1418.67,13844800.53,"GMP Certified, GDP Compliant, FDA Approved, ISO 13485 Certified",None,Low,True,18,True,0.0,0.0,90,PHR-CON-7108
PHRX00048,2024-04-10,2024-05-21,Texas Pharma Manufacturing,USA,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,9166,4872.76,44663718.16,"WHO Prequalified, EMA Certified, ISO 13485 Certified",None,Low,False,41,False,4773116.22,3529037.39,30,PHR-CON-4675
PHRX00049,2025-01-10,2025-02-02,Shanghai Medical Supply Co,China,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,1313,2033.5,2669985.5,"WHO Prequalified, FDA Approved, EMA Certified, GMP Certified","Quality Audit Issues, Single Source Supplier",High,False,23,True,0.0,0.0,60,PHR-CON-1082
PHRX00050,2026-01-17,2026-03-03,Swiss MedSupply GmbH,EU,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,7353,2280.05,16765207.65,"GMP Certified, ISO 13485 Certified, GDP Compliant",Single Source Supplier,Medium,False,45,False,0.0,0.0,30,PHR-CON-2328
PHRX00051,2025-06-16,2025-08-02,Texas Pharma Manufacturing,USA,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,2947,827.43,2438436.21,"FDA Approved, EMA Certified, WHO Prequalified, GMP Certified",Manufacturing Capacity Constraints,Medium,False,47,False,0.0,0.0,60,PHR-CON-8680
PHRX00052,2025-03-31,2025-05-22,Delhi Biotech Solutions,India,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,4434,3452.56,15308651.04,"GMP Certified, EMA Certified, ISO 13485 Certified, FDA Approved",Raw Material Shortage,Medium,False,52,False,1578727.51,901639.92,60,PHR-CON-8741
PHRX00053,2024-05-30,2024-07-14,French Biologics SA,EU,Vaccines - Injectable,Vaccines Pharmaceutical Product,5082,665.55,3382325.1,"ISO 13485 Certified, GDP Compliant, WHO Prequalified, EMA Certified",None,Low,True,45,False,461368.53,305038.78,30,PHR-CON-3446
PHRX00054,2024-09-01,2024-09-22,German Pharma AG,EU,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,2970,2902.42,8620187.4,"GMP Certified, ISO 13485 Certified, GDP Compliant",None,Low,True,21,True,0.0,0.0,60,PHR-CON-3235
PHRX00055,2024-02-09,2024-02-21,Shenzhen Drug Manufacturing,China,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,1813,1699.88,3081882.44,"GDP Compliant, ISO 13485 Certified",Quality Audit Issues,Medium,False,12,True,0.0,0.0,90,PHR-CON-3564
PHRX00056,2025-08-02,2025-08-11,Shanghai Medical Supply Co,China,Respiratory - Inhaled,Respiratory Pharmaceutical Product,1999,1299.37,2597440.63,"GMP Certified, FDA Approved, ISO 13485 Certified",Geopolitical Risk,Medium,False,9,True,0.0,0.0,60,PHR-CON-3250
PHRX00057,2023-07-17,2023-09-02,Shanghai Medical Supply Co,China,Oncology - Injectable,Oncology Pharmaceutical Product,2246,1371.93,3081354.78,"ISO 13485 Certified, WHO Prequalified, FDA Approved",None,Low,True,47,False,0.0,0.0,90,
PHRX00058,2025-05-01,2025-05-18,Mumbai Generics Ltd,India,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,1958,511.39,1001301.62,"FDA Approved, EMA Certified, ISO 13485 Certified","Quality Audit Issues, Manufacturing Capacity Constraints, Transportation Delays",High,False,17,True,0.0,0.0,60,PHR-CON-5596
PHRX00059,2023-12-11,2024-01-02,Beijing Pharmaceutical Group,China,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,9920,993.52,9855718.4,"WHO Prequalified, EMA Certified, FDA Approved, GMP Certified","Transportation Delays, Regulatory Approval Delays",High,False,22,True,2045490.11,1295994.57,90,PHR-CON-4733
PHRX00060,2024-12-18,2025-01-13,Italian Drug Manufacturing,EU,Pain Management - Injectable,Pain Management Pharmaceutical Product,8035,2260.41,18162394.35,"GDP Compliant, GMP Certified, ISO 13485 Certified",Quality Audit Issues,Medium,False,26,True,0.0,0.0,30,
PHRX00061,2024-11-10,2024-12-23,Beijing Pharmaceutical Group,China,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,7849,266.05,2088226.45,"ISO 13485 Certified, WHO Prequalified, EMA Certified, GMP Certified","Geopolitical Risk, Manufacturing Capacity Constraints, Raw Material Shortage",High,False,43,False,146328.13,134990.58,60,PHR-CON-9322
PHRX00062,2024-11-04,2024-11-11,New Jersey Drug Co,USA,Pain Management - Injectable,Pain Management Pharmaceutical Product,4442,420.4,1867416.8,"GMP Certified, ISO 13485 Certified, FDA Approved","Transportation Delays, Raw Material Shortage",High,False,7,True,0.0,0.0,60,PHR-CON-7910
PHRX00063,2024-05-06,2024-06-22,Shanghai Medical Supply Co,China,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,4808,1212.11,5827824.88,"WHO Prequalified, FDA Approved",Single Source Supplier,Medium,False,47,False,0.0,0.0,30,PHR-CON-8392
PHRX00064,2024-03-20,2024-04-24,Texas Pharma Manufacturing,USA,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,1019,277.66,282935.54,"GDP Compliant, WHO Prequalified, ISO 13485 Certified",None,Low,False,35,False,0.0,0.0,30,PHR-CON-9203
PHRX00065,2025-09-01,2025-09-18,Boston Scientific Supply Inc,USA,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,4045,3117.57,12610570.65,"GMP Certified, EMA Certified, WHO Prequalified",Quality Audit Issues,Medium,False,17,True,0.0,0.0,60,PHR-CON-6023
PHRX00066,2024-02-11,2024-03-07,Swiss MedSupply GmbH,EU,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,5761,2236.56,12884822.16,"GDP Compliant, ISO 13485 Certified, WHO Prequalified, EMA Certified","Geopolitical Risk, Regulatory Approval Delays",High,False,25,True,0.0,0.0,60,PHR-CON-2329
PHRX00067,2024-11-22,2025-01-04,Hyderabad Drug Manufacturing,India,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,6584,158.6,1044222.4,"FDA Approved, GMP Certified, WHO Prequalified","Raw Material Shortage, Regulatory Approval Delays, Quality Audit Issues",High,True,43,False,0.0,0.0,60,PHR-CON-6716
PHRX00068,2024-08-01,2024-08-22,Texas Pharma Manufacturing,USA,Pain Management - Injectable,Pain Management Pharmaceutical Product,745,3159.83,2354073.35,"ISO 13485 Certified, FDA Approved, GDP Compliant","Single Source Supplier, Quality Audit Issues",High,False,21,True,313328.62,188121.69,60,
PHRX00069,2023-06-16,2023-07-26,French Biologics SA,EU,Pain Management - Injectable,Pain Management Pharmaceutical Product,7994,1322.0,10568068.0,"WHO Prequalified, GDP Compliant, FDA Approved",Single Source Supplier,Medium,False,40,False,2571211.39,2391407.34,60,PHR-CON-3185
PHRX00070,2023-04-13,2023-06-10,French Biologics SA,EU,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,328,3963.88,1300152.64,"GMP Certified, FDA Approved, ISO 13485 Certified",Raw Material Shortage,Medium,False,58,False,0.0,0.0,90,PHR-CON-1184
PHRX00071,2024-02-08,2024-03-09,Dublin BioPharmaceuticals,Ireland,Vaccines - Injectable,Vaccines Pharmaceutical Product,9298,173.87,1616643.26,"GMP Certified, EMA Certified, FDA Approved",Regulatory Approval Delays,Medium,True,30,True,0.0,0.0,60,PHR-CON-9323
PHRX00072,2025-05-26,2025-06-09,Boston Scientific Supply Inc,USA,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,8171,1556.6,12718978.6,"FDA Approved, EMA Certified","Geopolitical Risk, Regulatory Approval Delays",High,False,14,True,0.0,0.0,90,PHR-CON-4337
PHRX00073,2025-12-11,2026-01-31,Italian Drug Manufacturing,EU,Pain Management - Injectable,Pain Management Pharmaceutical Product,1722,4432.8,7633281.6,"GMP Certified, ISO 13485 Certified, GDP Compliant",None,Low,False,51,False,0.0,0.0,30,PHR-CON-2354
PHRX00074,2023-10-30,2023-11-29,Galway MedTech Solutions,Ireland,Respiratory - Inhaled,Respiratory Pharmaceutical Product,4620,349.72,1615706.4,"FDA Approved, ISO 13485 Certified",None,Low,False,30,True,287431.88,283277.53,60,PHR-CON-2115
PHRX00075,2025-03-07,2025-03-29,California Biologics Corporation,USA,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,9180,4157.6,38166768.0,"GMP Certified, EMA Certified","Geopolitical Risk, Quality Audit Issues",High,False,22,True,0.0,0.0,90,
PHRX00076,2024-03-18,2024-03-25,Bangalore Pharmaceutical Co,India,Pain Management - Injectable,Pain Management Pharmaceutical Product,2958,2724.07,8057799.06,"WHO Prequalified, FDA Approved",None,Low,False,7,True,0.0,0.0,90,
PHRX00077,2025-03-05,2025-04-01,Dublin BioPharmaceuticals,Ireland,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,6997,309.38,2164731.86,"FDA Approved, WHO Prequalified, ISO 13485 Certified, EMA Certified","Manufacturing Capacity Constraints, Transportation Delays",High,True,27,True,326371.73,317464.33,90,PHR-CON-9248
PHRX00078,2024-08-29,2024-10-08,Delhi Biotech Solutions,India,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,7947,351.09,2790112.23,"ISO 13485 Certified, FDA Approved, WHO Prequalified","Regulatory Approval Delays, Single Source Supplier",High,False,40,False,0.0,0.0,30,PHR-CON-2020
PHRX00079,2025-03-25,2025-04-05,Texas Pharma Manufacturing,USA,Respiratory - Inhaled,Respiratory Pharmaceutical Product,9887,1935.48,19136090.76,"GDP Compliant, ISO 13485 Certified, GMP Certified, FDA Approved","Single Source Supplier, Raw Material Shortage",High,False,11,True,0.0,0.0,90,
PHRX00080,2024-09-27,2024-10-17,Guangzhou Biotech Ltd,China,Oncology - Injectable,Oncology Pharmaceutical Product,7530,2098.38,15800801.4,"ISO 13485 Certified, FDA Approved, GDP Compliant",Raw Material Shortage,Medium,True,20,True,3803545.27,3207950.09,30,PHR-CON-7720
PHRX00081,2025-01-01,2025-03-02,Cork Pharmaceutical Manufacturing Ltd,Ireland,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,6205,527.99,3276177.95,"GMP Certified, FDA Approved",Manufacturing Capacity Constraints,Medium,False,60,False,0.0,0.0,60,PHR-CON-1558
PHRX00082,2023-03-03,2023-04-01,Shanghai Medical Supply Co,China,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,5861,3022.03,17712117.83,"GMP Certified, WHO Prequalified",None,Low,True,29,True,0.0,0.0,30,PHR-CON-2198
PHRX00083,2025-11-14,2025-12-13,French Biologics SA,EU,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,9506,3824.9,36359499.4,"ISO 13485 Certified, GMP Certified","Transportation Delays, Manufacturing Capacity Constraints, Raw Material Shortage",High,False,29,True,0.0,0.0,90,PHR-CON-1483
PHRX00084,2023-09-02,2023-10-21,Mumbai Generics Ltd,India,Pain Management - Injectable,Pain Management Pharmaceutical Product,5162,1402.69,7240685.78,"GDP Compliant, FDA Approved, EMA Certified","Manufacturing Capacity Constraints, Raw Material Shortage",High,False,49,False,0.0,0.0,90,PHR-CON-4961
PHRX00085,2025-02-23,2025-03-03,Dublin BioPharmaceuticals,Ireland,Anesthetics - Injectable,Anesthetics Pharmaceutical Product,5685,2128.17,12098646.45,"GDP Compliant, WHO Prequalified","Transportation Delays, Manufacturing Capacity Constraints",High,False,8,True,0.0,0.0,30,
PHRX00086,2025-11-15,2025-12-02,German Pharma AG,EU,Cardiovascular - Oral Tablets,Cardiovascular Pharmaceutical Product,7047,1396.91,9844024.77,"GMP Certified, ISO 13485 Certified, WHO Prequalified",None,Low,False,17,True,0.0,0.0,60,PHR-CON-9479
PHRX00087,2025-12-04,2025-12-18,Delhi Biotech Solutions,India,Diabetes - Injectable (Insulin),Diabetes Pharmaceutical Product,6575,274.82,1806941.5,"FDA Approved, WHO Prequalified, EMA Certified, ISO 13485 Certified","Transportation Delays, Geopolitical Risk, Quality Audit Issues",High,True,14,True,133708.01,100106.21,30,PHR-CON-9064
PHRX00088,2023-04-01,2023-05-02,Swiss MedSupply GmbH,EU,Respiratory - Inhaled,Respiratory Pharmaceutical Product,793,406.77,322568.61,"FDA Approved, ISO 13485 Certified, WHO Prequalified","Manufacturing Capacity Constraints, Regulatory Approval Delays",High,False,31,False,0.0,0.0,60,PHR-CON-7891
PHRX00089,2025-07-11,2025-08-05,Limerick Drug Manufacturing Co,Ireland,Antibiotics - Injectable,Antibiotics Pharmaceutical Product,2915,4832.69,14087291.35,"ISO 13485 Certified, GDP Compliant, FDA Approved, EMA Certified","Geopolitical Risk, Regulatory Approval Delays",High,False,25,True,0.0,0.0,60,PHR-CON-3187
PHRX00090,2023-07-03,2023-07-29,Bangalore Pharmaceutical Co,India,Respiratory - Inhaled,Respiratory Pharmaceutical Product,1351,3906.63,5277857.13,"WHO Prequalified, FDA Approved, EMA Certified, ISO 13485 Certified",Transportation Delays,Medium,False,26,True,0.0,0.0,30,PHR-CON-4836
PHRX00091,2025-04-14,2025-04-30,Bangalore Pharmaceutical Co,India,Pain Management - Injectable,Pain Management Pharmaceutical Product,1334,3031.87,4044514.58,"WHO Prequalified, ISO 13485 Certified",Manufacturing Capacity Constraints,Medium,False,16,True,0.0,0.0,90,PHR-CON-7880
PHRX00092,2024-02-22,2024-04-10,French Biologics SA,EU,Respiratory - Inhaled,Respiratory Pharmaceutical Product,1218,797.24,971038.32,"ISO 13485 Certified, GDP Compliant, GMP Certified",Quality Audit Issues,Medium,False,48,False,0.0,0.0,60,PHR-CON-7842
